Rule	Text
8.5.22e	After the become/copy effect is generated, any change to the copyable values of the specified object will not change the copied values of the subject.
8.5.23.	Negate
8.5.23a	Negate is a discrete effect. Negate means “Remove target layer from the stack. If that layer is a card, put it into its owner’s graveyard.”.
8.5.23b	To negate a layer, the layer is cleared from the stack and it does not resolve.
8.5.24.	Repeat
8.5.24a	Repeat is a discrete effect.
8.5.24b	To repeat a process, perform the instructions of that process again.
8.5.24c	If no process is specifically stated, the process to repeat refers to the discrete effects preceding the repeat effect in the same resolution ability.
8.5.25.	Reroll
8.5.25a	Reroll is a replacement effect.
8.5.25b	To reroll dice, those dice are rolled again and their result is taken as if it were the first time they were rolled.
8.5.25c	If a die is rerolled its original result is considered to never have happened.
8.5.25d	If an event is modified by two or more reroll effects, those reroll effectss occur one by one in the order the event was modified.
8.5.26.	Charge
8.5.26a	Charge is a discrete effect. Charge means “Put a card from your hand face up under your hero card.”.
8.5.26b	To charge a card, move it from the player’s hand to their hero’s soul.
8.5.26c	Moving a card to a hero’s soul from a rule or effect other than charge is not considered charging.
8.5.27.	Distribute
8.5.27a	Distribute is a discrete effect.
8.5.27b	To distribute counters, create the counters if they do not exist, and divide and put them on a specified set of objects.
8.5.28.	Pay
8.5.28a	Pay is a discrete effect.
8.5.28b	To pay an asset-cost, the player must spend assets of the specified type and amount. (See 1.14.2)
8.5.28c	Pay effects are optional and the affected player can refuse to pay the asset-cost.
8.5.29.	Ignore
8.5.29a	Ignore is a replacement effect.
8.5.29b	To ignore an event or part of an event, after it has been completed it is considered to never have happened.
8.5.29c	If an effect is conditional or dependent on the result of an event that is ignored, the ignored part of the event is not considered to have happened.
8.5.29d	If there are two or more identical parts of an event and the ignore effect does not specify all of those parts, only the specified parts are ignored.
8.5.29e	If an event is modified by both a reroll and ignore effect, the reroll occurs before its results are ignored.
8.5.30.	Freeze
8.5.30a	Freeze is a continuous effect. Freeze means “A frozen object can not be played or activated.”.
8.5.30b	To freeze an object, that object can not be played and its abilities can not be activated for the duration of the effect.
8.5.30c	An object that the freeze effect applies to is considered to be frozen, and can be unfrozen by an effect. (See Rule 8.5.32)
8.5.30d	If a freeze effect already applies to an object, a new freeze effect that would apply to that object does not fail.
8.5.31.	Transform
8.5.31a	Transform is a discrete effect. Transform means “Put the object(s) under it.” or “Create the specified token and put the object(s) under it.”.
8.5.31b	To transform objects into a permanent that exists, put the objects under it. (See Rule 3.0.14)
8.5.31c	To transform objects into a permanent token that does not exist, first create the token, then put the objects under it. (See Rule 3.0.14)
8.5.31d	If the transform involves two or more objects to be transformed, all of those objects must exist and be transformed, otherwise the effect fails and no objects are transformed.
8.5.32.	Unfreeze
8.5.32a	Unfreeze is a discrete effect. Unfreeze means “Object is no longer frozen.”.
8.5.32b	To unfreeze an object, all existing freeze effects no longer apply to that object. (See Rule 8.5.30)
8.5.32c	If an object is unfrozen, all existing freeze effects that apply to an object cease to exist. After the unfreeze event has been generated, the object may be frozen again by new freeze effects.
8.5.32d	If unfreeze applies to an object that is not frozen, the effect fails.
8.6.	Token Keywords
8.6.1.	Quicken
8.6.1a	A Quicken token is a token with the name “Quicken”, the subtype aura, and the triggered-static ability “When you play an attack action card or attack with a weapon, destroy Quicken then the attack gains go again.”.
8.6.2.	Seismic Surge
8.6.2a	A Seismic Surge token is a token with the name “Seismic Surge”, the subtype aura, and the triggered-static ability “At the beginning of your action phase, destroy Seismic Surge then the next Guardian attack action card you play this turn costs {r} less to play.”.
8.6.3.	Runechant
8.6.3a	A Runechant token is a token with the name “Runechant”, the subtype aura, and the triggered-static ability “When you play an attack action card, or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”.
8.6.4.	Copper
8.6.4a	A Copper token is a token with the name “Copper”, the subtype item, and the activated ability “Action —{r}{r}{r}{r}, destroy Copper: Draw a card. Go again”.
8.6.5.	Zen State
8.6.5a	A Zen State token is a token with the name “Zen State”, the supertype ninja, the subtype aura, and the static abilities “Zen State enters the arena with 1 balance counter on it. At the beginning of your action phase, destroy Zen State unless you remove a balance counter from it.” and “Whenever your hero would be dealt damage, prevent 1 damage that source would deal.”.
8.6.6.	Blasmophet, the Soul Harvester
8.6.6a	A Blasmophet, the Soul Harvester token is a token with the name “Blasmophet, the Soul Harvester”, the supertype shadow, the subtypes demon and ally, a power of 6{p}, a life of 6{h}, the activated ability “Once per Turn Action — 0: Attack”, and the triggered-static ability “Whenever Blasmophet attacks, you may banish a Shadow card from your hand. If you do, you may banish a card from the defending hero’s soul.”.
8.6.7.	Soul Shackle
8.6.7a	A Soul Shackle token is a token with the name “Soul Shackle”, the subtype aura, and the triggered-static ability “At the beginning of your action phase, banish the top card of your deck.”.
